age,total,men,women,administrative_unit_id,year
53,5797,732.0,793.0,86,2022
54,5594,696.0,775.0,86,2022
55,5586,699.0,770.0,86,2022
56,5658,681.0,807.0,86,2022
57,5877,703.0,842.0,86,2022
58,6176,735.0,889.0,86,2022
59,6428,731.0,960.0,86,2022
60,6612,754.0,985.0,86,2022
61,6719,718.0,1049.0,86,2022
62,6596,735.0,999.0,86,2022
63,6578,710.0,1020.0,86,2022
64,6396,685.0,997.0,86,2022
65,6090,636.0,966.0,86,2022
66,6041,605.0,984.0,86,2022
67,6484,676.0,1029.0,86,2022
68,5737,566.0,943.0,86,2022
69,5800,569.0,956.0,86,2022
70,5457,530.0,905.0,86,2022
71,5209,498.0,872.0,86,2022
72,5407,498.0,924.0,86,2022
73,4342,393.0,748.0,86,2022
74,4174,377.0,720.0,86,2022
75,3698,331.0,642.0,86,2022
76,2157,174.0,393.0,86,2022
77,1882,152.0,343.0,86,2022
78,1592,140.0,279.0,86,2022
79,2110,180.0,375.0,86,2022
80,2811,221.0,518.0,86,2022
81,2632,201.0,491.0,86,2022
82,2707,209.0,503.0,86,2022
83,2365,180.0,442.0,86,2022
84,2458,170.0,477.0,86,2022
85,1490,101.0,291.0,86,2022
86,1091,73.0,214.0,86,2022
87,780,48.0,158.0,86,2022
88,561,33.0,114.0,86,2022
90,487,33.0,95.0,86,2022
91,474,28.0,97.0,86,2022
92,375,26.0,73.0,86,2022
93,305,21.0,59.0,86,2022
94,230,17.0,43.0,86,2022
95,184,9.0,39.0,86,2022
96,100,5.0,21.0,86,2022
97,69,3.0,16.0,86,2022
98,27,2.0,5.0,86,2022
99,13,2.0,2.0,86,2022
100,21,2.0,4.0,86,2022
0,4406,594.0,554.0,87,2022
1,4720,643.0,587.0,87,2022
2,4999,663.0,640.0,87,2022
3,5246,706.0,660.0,87,2022
4,5868,792.0,737.0,87,2022
5,6494,867.0,825.0,87,2022
6,6957,921.0,892.0,87,2022
7,6410,879.0,791.0,87,2022
8,6482,881.0,808.0,87,2022
9,6485,869.0,820.0,87,2022
10,6179,844.0,766.0,87,2022
11,6022,805.0,764.0,87,2022
12,6083,812.0,773.0,87,2022
13,5845,784.0,739.0,87,2022
14,5652,743.0,730.0,87,2022
15,5263,684.0,687.0,87,2022
16,4967,657.0,637.0,87,2022
17,5269,696.0,677.0,87,2022
18,4868,671.0,597.0,87,2022
19,4771,661.0,582.0,87,2022
20,4456,641.0,520.0,87,2022
21,4674,687.0,530.0,87,2022
22,4291,631.0,487.0,87,2022
23,4168,592.0,493.0,87,2022
24,4823,692.0,564.0,87,2022
25,5318,805.0,581.0,87,2022
26,6569,1082.0,630.0,87,2022
27,6325,942.0,706.0,87,2022
28,6137,891.0,708.0,87,2022
29,6907,941.0,859.0,87,2022
30,7866,1080.0,970.0,87,2022
31,8457,1164.0,1040.0,87,2022
32,9197,1179.0,1217.0,87,2022
