,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
36,36,9146,4542,4604,9586,4793,4793,9453,4754,4699,9075,4600,4475,8473,4298,4175,8012,4211,3801,7408,3971,3437,6404,3445,2959,5778,3263,2515
37,37,9113,4590,4523,9234,4580,4654,9643,4816,4827,9523,4785,4738,9145,4630,4515,8545,4330,4215,8095,4245,3850,7469,3993,3476,6459,3465,2994
38,38,9271,4629,4642,9189,4618,4571,9290,4601,4689,9697,4837,4860,9587,4812,4775,9210,4657,4553,8612,4359,4253,8173,4276,3897,7527,4013,3514
39,39,8515,4256,4259,9339,4651,4688,9232,4628,4604,9340,4617,4723,9746,4854,4892,9644,4834,4810,9268,4679,4589,8674,4384,4290,8246,4305,3941
40,40,8076,4011,4065,8562,4265,4297,9367,4651,4716,9263,4630,4633,9383,4628,4755,9786,4865,4921,9696,4853,4843,9320,4697,4623,8730,4405,4325
41,41,8186,4057,4129,8099,4009,4090,8570,4254,4316,9380,4642,4738,9282,4625,4657,9412,4631,4781,9817,4870,4947,9738,4865,4873,9364,4710,4654
42,42,7451,3696,3755,8205,4053,4152,8091,3990,4101,8564,4235,4329,9375,4624,4751,9283,4610,4673,9430,4627,4803,9838,4869,4969,9770,4870,4900
43,43,7294,3606,3688,7457,3690,3767,8191,4033,4158,8071,3967,4104,8546,4211,4335,9356,4598,4758,9270,4586,4684,9431,4612,4819,9843,4857,4986
44,44,6926,3380,3546,7299,3598,3701,7443,3671,3772,8171,4010,4161,8043,3940,4103,8517,4181,4336,9322,4564,4758,9243,4555,4688,9417,4589,4828
45,45,6827,3324,3503,6938,3374,3564,7288,3579,3709,7425,3650,3775,8147,3985,4162,8010,3911,4099,8480,4148,4332,9279,4527,4752,9202,4517,4685
46,46,6895,3374,3521,6846,3320,3526,6936,3360,3576,7276,3558,3718,7408,3627,3781,8122,3958,4164,7976,3881,4095,8440,4114,4326,9228,4485,4743
47,47,6669,3291,3378,6908,3366,3542,6849,3308,3541,6932,3344,3588,7263,3537,3726,7389,3603,3786,8095,3930,4165,7938,3849,4089,8396,4077,4319
48,48,6302,3106,3196,6672,3278,3394,6901,3347,3554,6846,3292,3554,6925,3327,3598,7249,3514,3735,7369,3578,3791,8068,3901,4167,7901,3816,4085
49,49,6294,3094,3200,6305,3093,3212,6658,3255,3403,6889,3325,3564,6840,3275,3565,6914,3307,3607,7232,3490,3742,7350,3553,3797,8039,3870,4169
50,50,5942,2926,3016,6293,3079,3214,6291,3071,3220,6640,3229,3411,6872,3300,3572,6828,3255,3573,6901,3286,3615,7213,3465,3748,7326,3525,3801
51,51,5809,2863,2946,5941,2913,3028,6276,3055,3221,6274,3046,3228,6617,3201,3416,6852,3273,3579,6812,3232,3580,6881,3262,3619,7190,3437,3753
52,52,5393,2543,2850,5807,2849,2958,5922,2887,3035,6252,3026,3226,6250,3017,3233,6592,3170,3422,6827,3244,3583,6790,3205,3585,6856,3233,3623
53,53,5263,2522,2741,5383,2527,2856,5787,2822,2965,5897,2858,3039,6225,2995,3230,6223,2986,3237,6561,3136,3425,6798,3211,3587,6763,3175,3588
54,54,5022,2356,2666,5246,2499,2747,5359,2501,2858,5763,2793,2970,5866,2825,3041,6193,2960,3233,6190,2951,3239,6525,3099,3426,6764,3175,3589
55,55,5060,2380,2680,5002,2332,2670,5217,2469,2748,5331,2473,2858,5732,2759,2973,5834,2790,3044,6155,2922,3233,6154,2914,3240,6485,3059,3426
56,56,5082,2310,2772,5036,2353,2683,4971,2302,2669,5182,2436,2746,5298,2441,2857,5698,2723,2975,5795,2752,3043,6113,2881,3232,6113,2873,3240
57,57,5306,2374,2932,5057,2283,2774,5003,2320,2683,4938,2271,2667,5144,2400,2744,5260,2406,2854,5657,2684,2973,5751,2710,3041,6065,2836,3229
58,58,5640,2525,3115,5275,2344,2931,5024,2252,2772,4964,2285,2679,4899,2236,2663,5102,2362,2740,5218,2370,2848,5612,2641,2971,5703,2666,3037
59,59,5812,2504,3308,5605,2492,3113,5234,2309,2925,4985,2218,2767,4923,2249,2674,4857,2200,2657,5056,2322,2734,5173,2331,2842,5563,2596,2967
60,60,5926,2554,3372,5772,2471,3301,5556,2452,3104,5190,2272,2918,4943,2183,2760,4877,2210,2667,4811,2162,2649,5006,2280,2726,5122,2289,2833
61,61,6160,2556,3604,5886,2520,3366,5720,2431,3289,5504,2410,3094,5139,2232,2907,4895,2144,2751,4826,2168,2658,4760,2120,2640,4952,2236,2716
62,62,6045,2527,3518,6115,2522,3593,5828,2477,3351,5662,2388,3274,5446,2365,3081,5084,2189,2895,4842,2103,2739,4771,2124,2647,4705,2077,2628
63,63,6044,2499,3545,5989,2486,3503,6053,2479,3574,5767,2432,3335,5599,2342,3257,5381,2316,3065,5024,2144,2880,4785,2059,2726,4712,2078,2634
64,64,5885,2413,3472,5978,2453,3525,5917,2437,3480,5985,2432,3553,5699,2383,3316,5530,2293,3237,5312,2265,3047,4959,2097,2862,4725,2014,2711
65,65,5692,2300,3392,5812,2364,3448,5898,2400,3498,5840,2385,3455,5911,2382,3529,5624,2331,3293,5453,2240,3213,5237,2211,3026,4889,2046,2843
66,66,5683,2186,3497,5613,2249,3364,5723,2307,3416,5811,2343,3468,5754,2328,3426,5828,2328,3500,5542,2275,3267,5371,2184,3187,5155,2154,3001
67,67,5995,2402,3593,5594,2133,3461,5517,2189,3328,5629,2248,3381,5716,2283,3433,5662,2269,3393,5739,2271,3468,5453,2215,3238,5282,2125,3157
68,68,5413,2062,3351,5882,2332,3550,5491,2072,3419,5416,2127,3289,5526,2184,3342,5613,2219,3394,5561,2205,3356,5641,2209,3432,5357,2153,3204
69,69,5446,2067,3379,5302,1998,3304,5754,2255,3499,5382,2010,3372,5306,2061,3245,5417,2117,3300,5502,2151,3351,5454,2139,3315,5536,2144,3392
70,70,5083,1919,3164,5322,1996,3326,5174,1926,3248,5616,2173,3443,5262,1942,3320,5188,1991,3197,5298,2047,3251,5383,2080,3303,5337,2068,3269
71,71,4934,1797,3137,4956,1847,3109,5181,1918,3263,5040,1852,3188,5470,2088,3382,5136,1872,3264,5062,1918,3144,5171,1972,3199,5255,2004,3251
72,72,5151,1830,3321,4801,1726,3075,4815,1770,3045,5033,1837,3196,4897,1775,3122,5316,2001,3315,4999,1798,3201,4927,1841,3086,5036,1895,3141
73,73,4111,1427,2684,4993,1749,3244,4650,1647,3003,4664,1689,2975,4874,1753,3121,4745,1694,3051,5151,1909,3242,4853,1721,3132,4784,1762,3022
74,74,3964,1381,2583,3973,1359,2614,4819,1662,3157,4490,1566,2924,4504,1605,2899,4707,1666,3041,4584,1610,2974,4976,1814,3162,4698,1641,3057
75,75,3460,1193,2267,3811,1305,2506,3818,1284,2534,4635,1572,3063,4322,1482,2840,4335,1519,2816,4529,1576,2953,4412,1524,2888,4790,1716,3074
76,76,2013,649,1364,3303,1117,2186,3644,1225,2419,3656,1207,2449,4439,1479,2960,4144,1396,2748,4157,1431,2726,4341,1483,2858,4231,1435,2796
77,77,1766,566,1200,1910,602,1308,3136,1038,2098,3467,1142,2325,3483,1128,2355,4233,1383,2850,3955,1307,2648,3969,1340,2629,4144,1389,2755
78,78,1497,493,1004,1662,520,1142,1800,554,1246,2961,959,2002,3281,1058,2223,3302,1048,2254,4016,1286,2730,3758,1218,2540,3770,1248,2522
79,79,1975,643,1332,1399,448,951,1552,473,1079,1685,506,1179,2778,878,1900,3087,974,2113,3113,966,2147,3790,1188,2602,3550,1126,2424
80,80,2615,788,1827,1834,581,1253,1297,404,893,1440,427,1013,1569,459,1110,2591,799,1792,2887,889,1998,2915,885,2030,3554,1090,2464
81,81,2509,757,1752,2416,708,1708,1689,520,1169,1195,362,833,1325,381,944,1449,413,1036,2399,721,1678,2678,805,1873,2711,805,1906
82,82,2610,750,1860,2300,674,1626,2213,629,1584,1542,461,1081,1089,320,769,1211,338,873,1326,367,959,2202,644,1558,2465,722,1743
83,83,2364,641,1723,2378,663,1715,2090,593,1497,2008,553,1455,1396,404,992,986,280,706,1094,295,799,1205,324,881,2004,570,1434
84,84,2388,614,1774,2135,560,1575,2142,578,1564,1880,516,1364,1805,481,1324,1252,350,902,882,242,640,981,256,725,1083,282,801
85,85,1757,396,340,1987,452,384,2128,485,411,2245,516,433,2283,527,439,2295,527,442,2180,497,421,1991,445,387,1841,402,360
86,86,1286,286,250,1455,327,282,1558,351,302,1644,373,318,1672,381,323,1681,381,325,1596,359,310,1458,322,284,1348,291,264
87,87,920,187,184,1040,213,208,1114,229,222,1175,244,234,1195,249,238,1201,249,239,1141,235,228,1042,210,209,964,190,195
88,88,662,131,133,748,150,151,801,161,161,845,171,170,860,175,172,864,175,173,821,165,165,750,147,152,693,133,141
89,89,574,129,111,650,147,126,695,158,134,734,168,141,746,172,144,750,172,145,712,162,138,651,145,126,602,131,118
90,90,559,111,113,632,126,127,677,136,136,714,144,143,726,147,146,730,147,147,693,139,140,633,124,128,586,112,119
91,91,442,101,85,500,116,96,535,124,103,565,132,108,575,135,110,578,135,111,549,127,105,501,114,97,463,103,90
92,92,360,83,69,407,94,78,436,101,83,460,108,88,467,110,89,470,110,90,446,104,86,408,93,79,377,84,73
93,93,271,67,51,307,77,57,328,82,61,347,88,64,352,89,66,354,89,66,336,84,63,307,75,58,284,68,54
94,94,217,36,46,245,41,52,263,44,55,277,47,58,282,48,59,283,48,60,269,45,57,246,41,52,227,37,48
95,95,118,21,25,133,24,28,143,25,30,151,27,31,153,28,32,154,28,32,146,26,30,134,23,28,124,21,26
96,96,81,10,18,92,12,20,99,13,22,104,13,23,106,14,23,106,14,24,101,13,22,92,12,21,85,10,19
97,97,32,8,6,36,9,7,39,10,7,41,11,7,41,11,8,42,11,8,39,10,7,36,9,7,33,8,6
98,98,15,6,2,17,7,2,19,8,3,20,8,3,20,8,3,20,8,3,19,8,3,17,7,2,16,6,2
99,99,25,6,5,28,7,5,30,8,6,32,8,6,32,8,6,32,8,6,31,8,6,28,7,5,26,6,5
100,100,13,3,3,14,4,3,15,4,3,16,4,3,16,4,3,16,4,3,16,4,3,14,4,3,13,3,3
