administrative_unit_id,social_group_id,age,men,women,year
85,29,58,18.0,25.0,2022
85,31,61,15.0,22.0,2022
85,31,62,14.0,22.0,2022
85,31,63,14.0,22.0,2022
85,31,64,13.0,22.0,2022
85,31,65,11.0,18.0,2022
85,31,66,11.0,18.0,2022
85,31,67,10.0,17.0,2022
85,31,68,10.0,17.0,2022
85,31,69,10.0,18.0,2022
85,31,70,8.0,16.0,2022
85,31,71,10.0,18.0,2022
85,31,72,10.0,17.0,2022
85,31,73,7.0,12.0,2022
85,31,74,5.0,8.0,2022
85,31,75,3.0,5.0,2022
85,21,7,22.0,21.0,2022
85,21,8,18.0,17.0,2022
85,21,9,18.0,17.0,2022
85,21,10,17.0,16.0,2022
85,21,11,16.0,15.0,2022
85,22,12,15.0,14.0,2022
85,22,13,16.0,15.0,2022
85,22,14,15.0,14.0,2022
85,22,15,15.0,15.0,2022
85,23,0,19.0,18.0,2022
85,24,1,23.0,22.0,2022
85,24,2,26.0,24.0,2022
85,26,16,15.0,15.0,2022
85,26,17,15.0,15.0,2022
85,26,18,25.0,28.0,2022
85,25,3,26.0,24.0,2022
85,25,4,24.0,22.0,2022
85,25,5,23.0,22.0,2022
85,25,6,23.0,22.0,2022
85,32,87,3.0,9.0,2022
85,32,96,0.0,2.0,2022
85,32,80,10.0,26.0,2022
85,32,83,5.0,14.0,2022
85,32,90,2.0,6.0,2022
85,32,86,4.0,11.0,2022
85,32,84,4.0,11.0,2022
85,32,92,1.0,4.0,2022
85,32,93,1.0,3.0,2022
85,32,89,2.0,7.0,2022
85,32,97,0.0,1.0,2022
85,32,98,0.0,1.0,2022
85,32,99,0.0,0.0,2022
85,32,88,3.0,9.0,2022
85,32,82,7.0,17.0,2022
85,32,100,0.0,0.0,2022
85,32,79,9.0,22.0,2022
85,32,85,3.0,10.0,2022
85,32,95,1.0,2.0,2022
85,32,78,9.0,18.0,2022
85,32,81,11.0,28.0,2022
85,32,77,7.0,16.0,2022
85,32,94,1.0,3.0,2022
85,32,76,4.0,9.0,2022
85,32,91,2.0,5.0,2022
85,27,19,23.0,27.0,2022
85,27,20,22.0,26.0,2022
85,27,21,22.0,26.0,2022
85,27,22,21.0,24.0,2022
85,27,23,23.0,25.0,2022
85,27,24,23.0,26.0,2022
85,27,25,22.0,29.0,2022
85,27,26,30.0,38.0,2022
85,27,27,38.0,43.0,2022
85,27,28,43.0,49.0,2022
85,27,29,43.0,51.0,2022
85,27,30,37.0,40.0,2022
85,28,31,37.0,41.0,2022
85,28,32,36.0,41.0,2022
85,28,33,35.0,41.0,2022
85,28,34,35.0,39.0,2022
85,28,35,33.0,37.0,2022
85,28,36,31.0,34.0,2022
85,28,37,29.0,32.0,2022
85,28,38,31.0,35.0,2022
85,28,39,28.0,31.0,2022
85,28,40,27.0,30.0,2022
85,29,41,25.0,28.0,2022
85,29,42,25.0,28.0,2022
85,29,43,25.0,28.0,2022
85,29,44,24.0,27.0,2022
85,29,45,24.0,27.0,2022
85,29,46,23.0,27.0,2022
85,29,47,23.0,27.0,2022
85,29,48,24.0,28.0,2022
85,29,49,21.0,25.0,2022
85,29,50,22.0,26.0,2022
85,29,51,21.0,25.0,2022
85,29,52,21.0,26.0,2022
85,29,53,22.0,28.0,2022
85,29,54,22.0,29.0,2022
85,29,55,23.0,29.0,2022
85,29,56,23.0,31.0,2022
85,29,57,24.0,33.0,2022
85,29,58,26.0,35.0,2022
85,29,59,22.0,32.0,2022
85,29,60,21.0,32.0,2022
85,31,61,20.0,32.0,2022
85,31,62,19.0,31.0,2022
85,31,63,19.0,32.0,2022
85,31,64,18.0,31.0,2022
85,31,65,16.0,28.0,2022
85,31,66,16.0,27.0,2022
85,31,67,15.0,26.0,2022
85,31,68,15.0,27.0,2022
85,31,69,15.0,27.0,2022
85,31,70,13.0,26.0,2022
85,31,71,14.0,28.0,2022
85,31,72,13.0,27.0,2022
85,31,73,9.0,17.0,2022
85,31,74,6.0,12.0,2022
85,31,75,3.0,9.0,2022
85,21,7,11.0,11.0,2022
85,21,8,10.0,10.0,2022
85,21,9,10.0,10.0,2022
85,21,10,10.0,10.0,2022
85,21,11,9.0,9.0,2022
85,22,12,9.0,8.0,2022
85,22,13,9.0,9.0,2022
85,22,14,9.0,9.0,2022
85,22,15,10.0,9.0,2022
85,23,0,11.0,11.0,2022
85,24,1,12.0,12.0,2022
85,24,2,14.0,13.0,2022
85,26,16,10.0,9.0,2022
85,26,17,10.0,9.0,2022
85,26,18,16.0,13.0,2022
85,25,3,13.0,13.0,2022
85,25,4,13.0,12.0,2022
85,25,5,12.0,12.0,2022
85,25,6,12.0,12.0,2022
85,32,87,2.0,5.0,2022
85,32,96,0.0,1.0,2022
85,32,80,6.0,14.0,2022
85,32,83,3.0,8.0,2022
85,32,90,1.0,3.0,2022
85,32,86,2.0,6.0,2022
85,32,84,2.0,6.0,2022
85,32,92,1.0,2.0,2022
85,32,93,0.0,2.0,2022
85,32,89,1.0,4.0,2022
85,32,97,0.0,1.0,2022
85,32,98,0.0,0.0,2022
85,32,99,0.0,0.0,2022
85,32,88,2.0,5.0,2022
85,32,82,4.0,9.0,2022
85,32,100,0.0,0.0,2022
85,32,79,5.0,12.0,2022
85,32,85,2.0,6.0,2022
85,32,95,0.0,1.0,2022
85,32,78,6.0,10.0,2022
85,32,81,6.0,15.0,2022
85,32,77,4.0,9.0,2022
85,32,94,0.0,1.0,2022
85,32,76,3.0,5.0,2022
85,32,91,1.0,3.0,2022
85,27,19,15.0,13.0,2022
85,27,20,13.0,14.0,2022
85,27,21,13.0,14.0,2022
85,27,22,13.0,13.0,2022
85,27,23,14.0,14.0,2022
85,27,24,13.0,14.0,2022
85,27,25,13.0,16.0,2022
85,27,26,18.0,20.0,2022
85,27,27,23.0,23.0,2022
85,27,28,26.0,26.0,2022
85,27,29,26.0,27.0,2022
85,27,30,23.0,23.0,2022
85,28,31,24.0,24.0,2022
85,28,32,23.0,24.0,2022
85,28,33,22.0,24.0,2022
85,28,34,22.0,23.0,2022
85,28,35,20.0,21.0,2022
85,28,36,18.0,20.0,2022
85,28,37,17.0,19.0,2022
85,28,38,18.0,20.0,2022
85,28,39,16.0,18.0,2022
85,28,40,16.0,18.0,2022
85,29,41,15.0,17.0,2022
85,29,42,15.0,17.0,2022
85,29,43,15.0,17.0,2022
85,29,44,14.0,17.0,2022
85,29,45,15.0,16.0,2022
