,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
21,21.0,4642.0,2712.0,1930.0,4597.0,2734.0,1863.0,4950.0,2902.0,2048.0,5257.0,3118.0,2139.0,5592.0,3260.0,2332.0,5341.0,3119.0,2222.0,5509.0,3162.0,2347.0,5955.0,3409.0,2546.0,6289.0,3618.0,2671.0
22,22.0,4277.0,2450.0,1827.0,4804.0,2836.0,1968.0,4813.0,2896.0,1917.0,5231.0,3117.0,2114.0,5589.0,3372.0,2217.0,5935.0,3528.0,2407.0,5691.0,3388.0,2303.0,5845.0,3423.0,2422.0,6302.0,3681.0,2621.0
23,23.0,4181.0,2351.0,1830.0,4407.0,2548.0,1859.0,4954.0,2949.0,2005.0,5002.0,3036.0,1966.0,5482.0,3307.0,2175.0,5897.0,3606.0,2291.0,6267.0,3787.0,2480.0,6047.0,3661.0,2386.0,6201.0,3698.0,2503.0
24,24.0,4487.0,2560.0,1927.0,4321.0,2455.0,1866.0,4539.0,2646.0,1893.0,5098.0,3057.0,2041.0,5174.0,3162.0,2012.0,5702.0,3473.0,2229.0,6172.0,3815.0,2357.0,6577.0,4029.0,2548.0,6395.0,3929.0,2466.0
25,25.0,4721.0,2831.0,1890.0,4608.0,2647.0,1961.0,4465.0,2559.0,1906.0,4676.0,2746.0,1930.0,5241.0,3162.0,2079.0,5335.0,3278.0,2057.0,5902.0,3621.0,2281.0,6418.0,3999.0,2419.0,6859.0,4248.0,2611.0
26,26.0,5688.0,3681.0,2007.0,4850.0,2904.0,1946.0,4737.0,2735.0,2002.0,4618.0,2664.0,1954.0,4822.0,2848.0,1974.0,5391.0,3267.0,2124.0,5495.0,3390.0,2105.0,6088.0,3756.0,2332.0,6640.0,4164.0,2476.0
27,27.0,5458.0,3267.0,2191.0,5802.0,3732.0,2070.0,4987.0,2982.0,2005.0,4875.0,2825.0,2050.0,4777.0,2770.0,2007.0,4974.0,2951.0,2023.0,5544.0,3372.0,2172.0,5655.0,3499.0,2156.0,6265.0,3881.0,2384.0
28,28.0,5360.0,3176.0,2184.0,5599.0,3352.0,2247.0,5923.0,3791.0,2132.0,5129.0,3063.0,2066.0,5017.0,2916.0,2101.0,4941.0,2876.0,2065.0,5132.0,3054.0,2078.0,5704.0,3477.0,2227.0,5815.0,3604.0,2211.0
29,29.0,5895.0,3322.0,2573.0,5504.0,3264.0,2240.0,5736.0,3434.0,2302.0,6043.0,3852.0,2191.0,5268.0,3145.0,2123.0,5159.0,3007.0,2152.0,5106.0,2982.0,2124.0,5290.0,3155.0,2135.0,5866.0,3581.0,2285.0
30,30.0,6843.0,3831.0,3012.0,6050.0,3419.0,2631.0,5645.0,3348.0,2297.0,5871.0,3515.0,2356.0,6161.0,3914.0,2247.0,5406.0,3226.0,2180.0,5299.0,3097.0,2202.0,5266.0,3084.0,2182.0,5447.0,3255.0,2192.0
31,31.0,7334.0,3997.0,3337.0,7013.0,3931.0,3082.0,6207.0,3513.0,2694.0,5783.0,3429.0,2354.0,6001.0,3591.0,2410.0,6277.0,3974.0,2303.0,5538.0,3305.0,2233.0,5434.0,3183.0,2251.0,5421.0,3183.0,2238.0
32,32.0,7825.0,4088.0,3737.0,7554.0,4130.0,3424.0,7190.0,4036.0,3154.0,6369.0,3609.0,2760.0,5922.0,3507.0,2415.0,6130.0,3664.0,2466.0,6390.0,4032.0,2358.0,5666.0,3379.0,2287.0,5564.0,3265.0,2299.0
33,33.0,8527.0,4465.0,4062.0,8046.0,4232.0,3814.0,7784.0,4269.0,3515.0,7376.0,4146.0,3230.0,6536.0,3706.0,2830.0,6064.0,3587.0,2477.0,6260.0,3737.0,2523.0,6503.0,4089.0,2414.0,5790.0,3451.0,2339.0
34,34.0,8929.0,4653.0,4276.0,8760.0,4620.0,4140.0,8274.0,4381.0,3893.0,8020.0,4413.0,3607.0,7569.0,4261.0,3308.0,6709.0,3807.0,2902.0,6211.0,3669.0,2542.0,6392.0,3810.0,2582.0,6618.0,4146.0,2472.0
35,35.0,9165.0,4756.0,4409.0,9169.0,4813.0,4356.0,8996.0,4776.0,4220.0,8509.0,4533.0,3976.0,8262.0,4560.0,3702.0,7768.0,4380.0,3388.0,6888.0,3912.0,2976.0,6361.0,3754.0,2607.0,6528.0,3885.0,2643.0
36,36.0,8884.0,4545.0,4339.0,9376.0,4898.0,4478.0,9409.0,4972.0,4437.0,9231.0,4930.0,4301.0,8744.0,4684.0,4060.0,8506.0,4709.0,3797.0,7972.0,4502.0,3470.0,7072.0,4021.0,3051.0,6516.0,3841.0,2675.0
37,37.0,8819.0,4593.0,4226.0,9078.0,4676.0,4402.0,9586.0,5040.0,4546.0,9643.0,5127.0,4516.0,9464.0,5082.0,4382.0,8978.0,4833.0,4145.0,8750.0,4857.0,3893.0,8179.0,4626.0,3553.0,7258.0,4130.0,3128.0
38,38.0,8931.0,4588.0,4343.0,8987.0,4711.0,4276.0,9267.0,4807.0,4460.0,9789.0,5180.0,4609.0,9871.0,5279.0,4592.0,9690.0,5229.0,4461.0,9208.0,4980.0,4228.0,8990.0,5003.0,3987.0,8383.0,4748.0,3635.0
39,39.0,8175.0,4226.0,3949.0,9086.0,4700.0,4386.0,9152.0,4828.0,4324.0,9450.0,4935.0,4515.0,9985.0,5317.0,4668.0,10090.0,5427.0,4663.0,9909.0,5374.0,4535.0,9431.0,5123.0,4308.0,9225.0,5146.0,4079.0
40,40.0,7745.0,3992.0,3753.0,8315.0,4321.0,3994.0,9240.0,4811.0,4429.0,9311.0,4941.0,4370.0,9625.0,5060.0,4565.0,10172.0,5450.0,4722.0,10298.0,5570.0,4728.0,10119.0,5514.0,4605.0,9644.0,5262.0,4382.0
41,41.0,7931.0,4051.0,3880.0,7875.0,4078.0,3797.0,8454.0,4415.0,4039.0,9390.0,4919.0,4471.0,9465.0,5051.0,4414.0,9793.0,5180.0,4613.0,10349.0,5577.0,4772.0,10497.0,5708.0,4789.0,10316.0,5648.0,4668.0
42,42.0,7328.0,3735.0,3593.0,8059.0,4134.0,3925.0,8000.0,4160.0,3840.0,8590.0,4506.0,4084.0,9533.0,5021.0,4512.0,9614.0,5156.0,4458.0,9954.0,5296.0,4658.0,10518.0,5699.0,4819.0,10684.0,5840.0,4844.0
43,43.0,7147.0,3598.0,3549.0,7435.0,3806.0,3629.0,8185.0,4216.0,3969.0,8123.0,4241.0,3882.0,8720.0,4593.0,4127.0,9671.0,5119.0,4552.0,9754.0,5254.0,4500.0,10106.0,5403.0,4703.0,10676.0,5812.0,4864.0
44,44.0,6812.0,3385.0,3427.0,7255.0,3674.0,3581.0,7544.0,3882.0,3662.0,8311.0,4302.0,4009.0,8242.0,4323.0,3919.0,8843.0,4676.0,4167.0,9803.0,5212.0,4591.0,9887.0,5347.0,4540.0,10249.0,5504.0,4745.0
45,45.0,6761.0,3376.0,3385.0,6925.0,3468.0,3457.0,7371.0,3758.0,3613.0,7659.0,3964.0,3695.0,8436.0,4389.0,4047.0,8360.0,4404.0,3956.0,8964.0,4759.0,4205.0,9930.0,5302.0,4628.0,10012.0,5434.0,4578.0
46,46.0,6855.0,3480.0,3375.0,6877.0,3458.0,3419.0,7041.0,3553.0,3488.0,7489.0,3844.0,3645.0,7778.0,4050.0,3728.0,8565.0,4481.0,4084.0,8477.0,4488.0,3989.0,9084.0,4844.0,4240.0,10052.0,5390.0,4662.0
47,47.0,6621.0,3384.0,3237.0,6956.0,3551.0,3405.0,6992.0,3541.0,3451.0,7158.0,3639.0,3519.0,7608.0,3931.0,3677.0,7895.0,4136.0,3759.0,8694.0,4574.0,4120.0,8596.0,4574.0,4022.0,9200.0,4928.0,4272.0
48,48.0,6248.0,3172.0,3076.0,6710.0,3448.0,3262.0,7057.0,3623.0,3434.0,7106.0,3624.0,3482.0,7274.0,3725.0,3549.0,7724.0,4018.0,3706.0,8014.0,4224.0,3790.0,8823.0,4669.0,4154.0,8713.0,4661.0,4052.0
49,49.0,6240.0,3173.0,3067.0,6332.0,3233.0,3099.0,6797.0,3512.0,3285.0,7157.0,3695.0,3462.0,7216.0,3705.0,3511.0,7385.0,3808.0,3577.0,7840.0,4104.0,3736.0,8129.0,4310.0,3819.0,8949.0,4763.0,4186.0
50,50.0,5927.0,3025.0,2902.0,6318.0,3228.0,3090.0,6418.0,3294.0,3124.0,6884.0,3575.0,3309.0,7254.0,3765.0,3489.0,7323.0,3784.0,3539.0,7492.0,3888.0,3604.0,7950.0,4187.0,3763.0,8242.0,4394.0,3848.0
