,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
36,36,8847,4379,4468,9309,4613,4696,9274,4588,4686,9011,4451,4560,8473,4200,4273,8128,4171,3957,7520,3931,3589,6617,3476,3141,6072,3317,2755
37,37,8820,4444,4376,9020,4462,4558,9482,4699,4783,9459,4681,4778,9189,4539,4650,8652,4285,4367,8313,4252,4061,7670,3991,3679,6755,3531,3224
38,38,8897,4408,4489,8968,4511,4457,9179,4537,4642,9639,4777,4862,9630,4767,4863,9356,4622,4734,8821,4368,4453,8491,4331,4160,7816,4051,3765
39,39,8187,4098,4089,9023,4467,4556,9092,4567,4525,9316,4602,4714,9779,4846,4933,9784,4845,4939,9506,4698,4808,8981,4448,4533,8661,4410,4251
40,40,7680,3849,3831,8291,4145,4146,9126,4516,4610,9194,4612,4582,9433,4657,4776,9897,4905,4992,9919,4914,5005,9642,4768,4874,9127,4522,4605
41,41,7830,3899,3931,7783,3896,3887,8385,4188,4197,9215,4557,4658,9280,4650,4630,9531,4704,4827,9997,4955,5042,10035,4974,5061,9762,4830,4932
42,42,7326,3643,3683,7945,3952,3993,7881,3940,3941,8470,4226,4244,9294,4595,4699,9351,4681,4670,9612,4742,4870,10077,4995,5082,10131,5024,5107
43,43,7168,3530,3638,7424,3685,3739,8050,3998,4052,7971,3980,3991,8551,4262,4289,9362,4626,4736,9411,4706,4705,9678,4773,4905,10140,5026,5114
44,44,6836,3292,3544,7266,3571,3695,7515,3721,3794,8150,4040,4110,8053,4013,4040,8624,4292,4332,9424,4653,4771,9462,4726,4736,9731,4796,4935
45,45,6776,3273,3503,6931,3335,3596,7355,3607,3748,7598,3753,3845,8241,4076,4165,8131,4043,4088,8693,4319,4374,9482,4676,4806,9508,4742,4766
46,46,6787,3325,3462,6861,3309,3552,7013,3372,3641,7435,3639,3796,7674,3782,3892,8324,4107,4217,8203,4071,4132,8755,4342,4413,9534,4696,4838
47,47,6551,3238,3313,6855,3346,3509,6934,3337,3597,7086,3403,3683,7503,3665,3838,7739,3805,3934,8400,4135,4265,8268,4093,4175,8813,4361,4452
48,48,6166,3007,3159,6602,3248,3354,6910,3359,3551,6995,3358,3637,7147,3426,3721,7560,3684,3876,7795,3823,3972,8464,4156,4308,8322,4109,4213
49,49,6129,2993,3136,6209,3016,3193,6641,3251,3390,6957,3367,3590,7045,3371,3674,7194,3441,3753,7606,3696,3910,7840,3834,4006,8517,4171,4346
50,50,5792,2850,2942,6165,3000,3165,6245,3022,3223,6671,3251,3420,6989,3368,3621,7084,3379,3705,7232,3449,3783,7640,3701,3939,7872,3838,4034
51,51,5652,2787,2865,5824,2856,2968,6195,3004,3191,6274,3025,3249,6694,3247,3447,7018,3367,3651,7115,3382,3733,7260,3453,3807,7665,3700,3965
52,52,5272,2472,2800,5693,2796,2897,5854,2858,2996,6222,3005,3217,6300,3024,3276,6715,3241,3474,7041,3363,3678,7138,3381,3757,7282,3452,3830
53,53,5175,2469,2706,5305,2480,2825,5728,2801,2927,5880,2858,3022,6243,3001,3242,6321,3020,3301,6732,3233,3499,7059,3357,3702,7155,3376,3779
54,54,4975,2319,2656,5202,2471,2731,5334,2484,2850,5759,2802,2957,5900,2853,3047,6262,2995,3267,6338,3013,3325,6744,3223,3521,7070,3346,3724
55,55,4998,2339,2659,5001,2320,2681,5224,2469,2755,5357,2484,2873,5784,2799,2985,5917,2845,3072,6275,2985,3290,6350,3003,3347,6750,3209,3541
56,56,5102,2327,2775,5021,2337,2684,5021,2318,2703,5241,2464,2777,5375,2481,2894,5804,2793,3011,5928,2834,3094,6282,2972,3310,6357,2990,3367
57,57,5285,2380,2905,5125,2326,2799,5038,2332,2706,5034,2312,2722,5251,2456,2795,5386,2474,2912,5816,2782,3034,5933,2819,3114,6285,2956,3329
58,58,5652,2543,3109,5299,2373,2926,5140,2320,2820,5049,2324,2725,5044,2304,2740,5257,2444,2813,5394,2465,2929,5825,2770,3055,5933,2803,3130
59,59,5818,2514,3304,5659,2531,3128,5308,2364,2944,5152,2313,2839,5056,2314,2742,5049,2294,2755,5258,2431,2827,5397,2454,2943,5829,2755,3074
60,60,5931,2560,3371,5823,2502,3321,5663,2517,3146,5312,2352,2960,5159,2303,2856,5059,2301,2758,5050,2281,2769,5257,2415,2842,5396,2440,2956
61,61,6124,2506,3618,5934,2545,3389,5822,2487,3335,5659,2499,3160,5310,2336,2974,5160,2289,2871,5059,2286,2773,5047,2266,2781,5250,2397,2853
62,62,6002,2505,3497,6125,2492,3633,5930,2526,3404,5816,2467,3349,5650,2476,3174,5305,2318,2987,5156,2272,2884,5051,2267,2784,5039,2247,2792
