,age,total,men,women,administrative_unit_id,municipality_parent_id
0,0,553,286,267,85,
1,1,592,309,283,85,
2,2,627,319,308,85,
3,3,658,340,318,85,
4,4,736,381,355,85,
5,5,814,417,397,85,
6,6,873,443,429,85,
7,7,804,423,381,85,
8,8,813,424,389,85,
9,9,813,419,395,85,
10,10,775,406,369,85,
11,11,755,388,368,85,
12,12,763,391,372,85,
13,13,733,377,356,85,
14,14,709,358,351,85,
15,15,660,329,331,85,
16,16,623,316,307,85,
17,17,661,335,326,85,
18,18,611,323,288,85,
19,19,598,318,280,85,
20,20,559,309,250,85,
21,21,586,331,255,85,
22,22,538,304,234,85,
23,23,523,285,238,85,
24,24,605,333,272,85,
25,25,667,388,279,85,
26,26,824,521,303,85,
27,27,793,453,340,85,
28,28,770,429,341,85,
29,29,866,453,413,85,
30,30,987,520,467,85,
31,31,1061,560,500,85,
32,32,1153,568,586,85,
33,33,1248,622,626,85,
34,34,1311,655,656,85,
35,35,1344,660,684,85,
36,36,1300,635,664,85,
37,37,1300,645,655,85,
38,38,1318,651,666,85,
39,39,1203,604,598,85,
40,40,1131,569,562,85,
41,41,1146,575,571,85,
42,42,1065,528,537,85,
43,43,1042,513,529,85,
44,44,976,473,503,85,
45,45,949,460,489,85,
46,46,964,472,492,85,
47,47,925,461,464,85,
48,48,869,427,442,85,
49,49,860,427,433,85,
50,50,825,406,419,85,
51,51,785,389,396,85,
52,52,742,350,392,85,
53,53,727,349,378,85,
54,54,702,332,370,85,
55,55,701,333,367,85,
56,56,710,325,385,85,
57,57,737,335,402,85,
58,58,775,351,424,85,
59,59,806,349,458,85,
60,60,829,360,470,85,
61,61,843,343,500,85,
62,62,827,351,477,85,
63,63,825,339,486,85,
64,64,802,326,476,85,
65,65,764,303,461,85,
66,66,758,288,469,85,
67,67,813,322,491,85,
68,68,720,270,450,85,
69,69,727,271,456,85,
70,70,684,253,432,85,
71,71,653,237,416,85,
72,72,678,237,441,85,
73,73,545,188,357,85,
74,74,523,180,344,85,
75,75,464,158,306,85,
76,76,271,83,187,85,
77,77,236,72,164,85,
78,78,200,67,133,85,
79,79,265,86,179,85,
80,80,353,106,247,85,
81,81,330,96,234,85,
82,82,340,100,240,85,
83,83,297,86,211,85,
84,84,308,81,227,85,
85,85,187,48,139,85,
86,86,137,35,102,85,
87,87,98,23,75,85,
88,88,70,16,54,85,
89,89,84,20,64,85,
90,90,61,16,45,85,
91,91,59,13,46,85,
92,92,47,12,35,85,
93,93,38,10,28,85,
94,94,29,8,21,85,
95,95,23,4,19,85,
96,96,13,3,10,85,
97,97,9,1,7,85,
98,98,3,1,2,85,
99,99,2,1,1,85,
100,100,3,1,2,85,
101,0,1151,595,556,86,
102,1,1233,645,589,86,
103,2,1306,665,641,86,
104,3,1371,708,662,86,
105,4,1533,794,739,86,
106,5,1697,869,828,86,
107,6,1818,924,894,86,
108,7,1675,881,793,86,
109,8,1693,883,810,86,
110,9,1694,872,822,86,
111,10,1614,846,768,86,
112,11,1573,807,766,86,
113,12,1589,814,775,86,
114,13,1527,786,741,86,
115,14,1477,745,732,86,
116,15,1375,686,689,86,
117,16,1298,659,639,86,
118,17,1377,698,679,86,
119,18,1272,673,599,86,
120,19,1246,663,584,86,
121,20,1164,643,521,86,
122,21,1221,689,532,86,
123,22,1121,633,488,86,
124,23,1089,594,495,86,
125,24,1260,694,566,86,
126,25,1389,807,582,86,
127,26,1716,1085,631,86,
128,27,1652,944,708,86,
129,28,1603,894,710,86,
130,29,1804,944,861,86,
131,30,2055,1083,972,86,
132,31,2209,1167,1042,86,
133,32,2403,1182,1221,86,
134,33,2600,1295,1305,86,
135,34,2731,1365,1366,86,
136,35,2799,1375,1424,86,
137,36,2707,1323,1384,86,
138,37,2708,1344,1365,86,
139,38,2744,1357,1388,86,
140,39,2505,1259,1247,86,
141,40,2357,1186,1171,86,
142,41,2388,1198,1190,86,
143,42,2217,1099,1118,86,
144,43,2170,1069,1101,86,
145,44,2033,985,1047,86,
146,45,1976,957,1019,86,
147,46,2007,983,1024,86,
148,47,1927,960,967,86,
149,48,1810,889,921,86,
150,49,1791,889,902,86,
151,50,1718,845,873,86,
152,51,1635,811,824,86,
153,52,1546,730,816,86,
154,53,1514,727,788,86,
155,54,1461,691,770,86,
156,55,1459,695,765,86,
157,56,1478,676,802,86,
158,57,1535,699,837,86,
159,58,1613,730,883,86,
160,59,1679,726,953,86,
161,60,1727,749,978,86,
162,61,1755,713,1042,86,
163,62,1723,730,993,86,
164,63,1719,705,1013,86,
165,64,1671,680,991,86,
166,65,1591,632,959,86,
167,66,1578,601,978,86,
168,67,1694,671,1023,86,
169,68,1499,562,937,86,
170,69,1515,565,950,86,
171,70,1426,527,899,86,
172,71,1361,495,866,86,
173,72,1413,495,918,86,
174,73,1134,391,744,86,
175,74,1090,375,716,86,
176,75,966,328,638,86,
177,76,564,173,391,86,
178,77,492,151,341,86,
179,78,416,139,277,86,
180,79,551,179,373,86,
181,80,734,220,514,86,
182,81,688,200,487,86,
183,82,707,208,499,86,
184,83,618,179,439,86,
185,84,642,169,474,86,
186,85,389,100,289,86,
187,86,285,72,213,86,
188,87,204,47,156,86,
189,88,147,33,113,86,
190,89,175,42,133,86,
191,90,127,33,95,86,
192,91,124,28,96,86,
193,92,98,26,72,86,
194,93,80,21,59,86,
195,94,60,17,43,86,
196,95,48,9,39,86,
197,96,26,5,21,86,
198,97,18,3,15,86,
199,98,7,2,5,86,
200,99,3,2,2,86,
201,100,5,2,4,86,
202,0,1126,582,544,87,
203,1,1206,631,576,87,
204,2,1278,650,627,87,
205,3,1341,693,648,87,
206,4,1500,776,723,87,
207,5,1660,850,810,87,
208,6,1778,904,875,87,
209,7,1638,862,776,87,
210,8,1657,864,793,87,
211,9,1657,853,805,87,
212,10,1579,828,751,87,
213,11,1539,790,749,87,
214,12,1555,796,759,87,
215,13,1494,769,725,87,
216,14,1445,729,716,87,
217,15,1345,671,674,87,
218,16,1270,645,625,87,
219,17,1347,683,664,87,
220,18,1244,658,586,87,
221,19,1219,648,571,87,
222,20,1139,629,510,87,
223,21,1195,674,520,87,
224,22,1097,619,478,87,
225,23,1065,581,484,87,
226,24,1233,679,554,87,
227,25,1359,790,569,87,
228,26,1679,1061,618,87,
229,27,1617,924,693,87,
230,28,1569,874,694,87,
231,29,1765,923,842,87,
232,30,2010,1059,951,87,
233,31,2161,1142,1020,87,
234,32,2351,1157,1194,87,
235,33,2543,1267,1276,87,
236,34,2672,1335,1337,87,
237,35,2738,1345,1393,87,
238,36,2649,1295,1354,87,
239,37,2650,1314,1335,87,
240,38,2685,1327,1358,87,
241,39,2451,1231,1220,87,
242,40,2306,1160,1146,87,
243,41,2336,1172,1164,87,
244,42,2169,1075,1094,87,
245,43,2123,1045,1078,87,
246,44,1989,964,1025,87,
247,45,1933,937,997,87,
248,46,1964,962,1002,87,
249,47,1885,939,946,87,
250,48,1770,870,901,87,
251,49,1752,870,882,87,
252,50,1681,827,854,87,
253,51,1600,793,806,87,
254,52,1513,714,799,87,
255,53,1482,711,771,87,
256,54,1430,676,753,87,
257,55,1428,680,748,87,
258,56,1446,661,785,87,
259,57,1502,684,818,87,
260,58,1579,715,864,87,
261,59,1643,710,933,87,
262,60,1690,733,957,87,
263,61,1717,698,1019,87,
264,62,1686,715,971,87,
265,63,1681,690,991,87,
266,64,1635,665,969,87,
267,65,1557,618,939,87,
268,66,1544,588,956,87,
269,67,1657,657,1000,87,
270,68,1466,550,916,87,
271,69,1482,553,929,87,
272,70,1395,515,879,87,
273,71,1331,484,848,87,
274,72,1382,484,898,87,
275,73,1110,382,727,87,
276,74,1067,367,700,87,
277,75,945,321,624,87,
278,76,551,169,382,87,
279,77,481,147,334,87,
280,78,407,136,271,87,
281,79,539,175,364,87,
282,80,718,215,503,87,
283,81,673,196,477,87,
284,82,692,203,488,87,
285,83,604,175,430,87,
286,84,628,165,463,87,
287,85,381,98,283,87,
288,86,279,71,208,87,
289,87,199,46,153,87,
290,88,143,32,111,87,
291,89,171,41,130,87,
292,90,124,32,93,87,
293,91,121,27,94,87,
294,92,96,25,71,87,
295,93,78,20,58,87,
296,94,59,17,42,87,
297,95,47,9,38,87,
298,96,26,5,20,87,
299,97,18,3,15,87,
300,98,7,2,5,87,
301,99,3,2,2,87,
302,100,5,2,4,87,
303,0,1576,815,761,88,
304,1,1689,883,806,88,
305,2,1788,910,878,88,
306,3,1877,970,907,88,
307,4,2099,1087,1012,88,
308,5,2323,1190,1133,88,
309,6,2489,1265,1224,88,
310,7,2293,1207,1086,88,
311,8,2319,1210,1109,88,
312,9,2320,1194,1126,88,
313,10,2211,1159,1051,88,
314,11,2154,1105,1049,88,
315,12,2176,1114,1062,88,
316,13,2091,1076,1015,88,
317,14,2022,1020,1002,88,
318,15,1883,939,943,88,
319,16,1777,902,875,88,
320,17,1885,956,929,88,
321,18,1742,921,820,88,
322,19,1707,908,799,88,
323,20,1594,880,714,88,
324,21,1672,944,728,88,
325,22,1535,866,669,88,
326,23,1491,814,678,88,
327,24,1725,951,775,88,
328,25,1902,1105,797,88,
329,26,2350,1485,865,88,
330,27,2263,1293,970,88,
331,28,2195,1224,972,88,
332,29,2471,1292,1179,88,
333,30,2814,1482,1332,88,
334,31,3025,1598,1427,88,
335,32,3290,1619,1671,88,
336,33,3560,1773,1787,88,
337,34,3740,1868,1871,88,
338,35,3833,1883,1950,88,
