,age,total,men,women,administrative_unit_id,municipality_parent_id
339,36,3707,1812,1895,88,
340,37,3709,1840,1869,88,
341,38,3758,1858,1900,88,
342,39,3431,1724,1707,88,
343,40,3227,1624,1603,88,
344,41,3270,1640,1630,88,
345,42,3037,1505,1532,88,
346,43,2971,1463,1508,88,
347,44,2784,1349,1434,88,
348,45,2706,1311,1395,88,
349,46,2749,1346,1402,88,
350,47,2638,1315,1324,88,
351,48,2478,1217,1261,88,
352,49,2452,1217,1235,88,
353,50,2353,1157,1196,88,
354,51,2239,1110,1129,88,
355,52,2117,999,1118,88,
356,53,2074,995,1079,88,
357,54,2001,947,1055,88,
358,55,1998,951,1047,88,
359,56,2024,926,1098,88,
360,57,2102,957,1145,88,
361,58,2209,1000,1209,88,
362,59,2300,994,1305,88,
363,60,2365,1026,1339,88,
364,61,2404,977,1427,88,
365,62,2360,1000,1359,88,
366,63,2353,966,1387,88,
367,64,2288,931,1357,88,
368,65,2179,865,1314,88,
369,66,2161,822,1339,88,
370,67,2320,919,1400,88,
371,68,2052,770,1283,88,
372,69,2075,774,1301,88,
373,70,1952,721,1231,88,
374,71,1863,677,1186,88,
375,72,1934,677,1257,88,
376,73,1553,535,1018,88,
377,74,1493,513,980,88,
378,75,1323,450,873,88,
379,76,772,237,535,88,
380,77,673,206,467,88,
381,78,570,190,379,88,
382,79,755,245,510,88,
383,80,1006,301,704,88,
384,81,942,274,668,88,
385,82,968,285,684,88,
386,83,846,245,601,88,
387,84,879,231,649,88,
388,85,533,137,396,88,
389,86,390,99,291,88,
390,87,279,65,214,88,
391,88,201,45,155,88,
392,89,240,58,182,88,
393,90,174,45,130,88,
394,91,170,38,131,88,
395,92,134,35,99,88,
396,93,109,29,80,88,
397,94,82,23,59,88,
398,95,66,13,53,88,
399,96,36,7,29,88,
400,97,25,4,21,88,
401,98,10,3,7,88,
402,99,5,2,3,88,
403,100,8,2,5,88,
