,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
36,36,8884,4545,4339,9376,4898,4478,9409,4972,4437,9231,4930,4301,8744,4684,4060,8506,4709,3797,7972,4502,3470,7072,4021,3051,6516,3841,2675
37,37,8819,4593,4226,9078,4676,4402,9586,5040,4546,9643,5127,4516,9464,5082,4382,8978,4833,4145,8750,4857,3893,8179,4626,3553,7258,4130,3128
38,38,8931,4588,4343,8987,4711,4276,9267,4807,4460,9789,5180,4609,9871,5279,4592,9690,5229,4461,9208,4980,4228,8990,5003,3987,8383,4748,3635
39,39,8175,4226,3949,9086,4700,4386,9152,4828,4324,9450,4935,4515,9985,5317,4668,10090,5427,4663,9909,5374,4535,9431,5123,4308,9225,5146,4079
40,40,7745,3992,3753,8315,4321,3994,9240,4811,4429,9311,4941,4370,9625,5060,4565,10172,5450,4722,10298,5570,4728,10119,5514,4605,9644,5262,4382
41,41,7931,4051,3880,7875,4078,3797,8454,4415,4039,9390,4919,4471,9465,5051,4414,9793,5180,4613,10349,5577,4772,10497,5708,4789,10316,5648,4668
42,42,7328,3735,3593,8059,4134,3925,8000,4160,3840,8590,4506,4084,9533,5021,4512,9614,5156,4458,9954,5296,4658,10518,5699,4819,10684,5840,4844
43,43,7147,3598,3549,7435,3806,3629,8185,4216,3969,8123,4241,3882,8720,4593,4127,9671,5119,4552,9754,5254,4500,10106,5403,4703,10676,5812,4864
44,44,6812,3385,3427,7255,3674,3581,7544,3882,3662,8311,4302,4009,8242,4323,3919,8843,4676,4167,9803,5212,4591,9887,5347,4540,10249,5504,4745
45,45,6761,3376,3385,6925,3468,3457,7371,3758,3613,7659,3964,3695,8436,4389,4047,8360,4404,3956,8964,4759,4205,9930,5302,4628,10012,5434,4578
46,46,6855,3480,3375,6877,3458,3419,7041,3553,3488,7489,3844,3645,7778,4050,3728,8565,4481,4084,8477,4488,3989,9084,4844,4240,10052,5390,4662
47,47,6621,3384,3237,6956,3551,3405,6992,3541,3451,7158,3639,3519,7608,3931,3677,7895,4136,3759,8694,4574,4120,8596,4574,4022,9200,4928,4272
48,48,6248,3172,3076,6710,3448,3262,7057,3623,3434,7106,3624,3482,7274,3725,3549,7724,4018,3706,8014,4224,3790,8823,4669,4154,8713,4661,4052
49,49,6240,3173,3067,6332,3233,3099,6797,3512,3285,7157,3695,3462,7216,3705,3511,7385,3808,3577,7840,4104,3736,8129,4310,3819,8949,4763,4186
50,50,5927,3025,2902,6318,3228,3090,6418,3294,3124,6884,3575,3309,7254,3765,3489,7323,3784,3539,7492,3888,3604,7950,4187,3763,8242,4394,3848
51,51,5795,2937,2858,6004,3076,2928,6401,3285,3116,6502,3354,3148,6970,3637,3333,7349,3834,3515,7425,3860,3565,7594,3965,3629,8058,4267,3791
52,52,5396,2606,2790,5876,2989,2887,6080,3127,2953,6481,3340,3141,6585,3412,3173,7054,3696,3358,7442,3900,3542,7522,3931,3591,7693,4039,3654
53,53,5291,2603,2688,5459,2649,2810,5952,3038,2914,6154,3176,2978,6558,3393,3165,6665,3466,3199,7138,3754,3384,7531,3963,3568,7616,3999,3617
54,54,5037,2417,2620,5342,2636,2706,5520,2690,2830,6030,3087,2943,6224,3221,3003,6633,3442,3191,6741,3517,3224,7215,3807,3408,7614,4020,3594
55,55,5059,2431,2628,5084,2446,2638,5393,2667,2726,5578,2728,2850,6101,3131,2970,6291,3264,3027,6701,3487,3214,6814,3565,3249,7289,3856,3433
56,56,5110,2385,2725,5102,2456,2646,5130,2474,2656,5441,2697,2744,5633,2764,2869,6166,3171,2995,6352,3302,3050,6766,3528,3238,6882,3609,3273
57,57,5337,2473,2864,5149,2408,2741,5141,2478,2663,5171,2500,2671,5485,2724,2761,5682,2796,2886,6227,3208,3019,6410,3338,3072,6826,3565,3261
58,58,5677,2625,3052,5367,2491,2876,5189,2432,2757,5181,2502,2679,5212,2525,2687,5526,2749,2777,5728,2826,2902,6281,3240,3041,6463,3370,3093
59,59,5820,2572,3248,5706,2642,3064,5399,2510,2889,5229,2456,2773,5218,2524,2694,5250,2548,2702,5565,2773,2792,5771,2853,2918,6333,3271,3062
60,60,5957,2634,3323,5847,2590,3257,5735,2659,3076,5432,2529,2903,5266,2478,2788,5254,2545,2709,5283,2568,2715,5599,2793,2806,5810,2878,2932
61,61,6163,2600,3563,5985,2651,3334,5874,2607,3267,5765,2676,3089,5463,2547,2916,5299,2496,2803,5285,2562,2723,5316,2587,2729,5632,2812,2820
62,62,6033,2590,3443,6189,2618,3571,6012,2667,3345,5904,2625,3279,5792,2690,3102,5490,2561,2929,5330,2513,2817,5314,2576,2738,5342,2601,2741
63,63,6023,2532,3491,6048,2599,3449,6219,2636,3583,6040,2683,3357,5929,2639,3290,5816,2701,3115,5513,2572,2941,5357,2526,2831,5337,2587,2750
64,64,5885,2446,3439,6029,2536,3493,6062,2606,3456,6248,2654,3594,6065,2695,3370,5950,2649,3301,5836,2710,3126,5533,2581,2952,5380,2536,2844
65,65,5691,2339,3352,5881,2444,3437,6036,2539,3497,6078,2615,3463,6275,2669,3606,6087,2705,3382,5969,2658,3311,5853,2715,3138,5551,2587,2964
66,66,5666,2234,3432,5678,2331,3347,5879,2442,3437,6044,2542,3502,6090,2619,3471,6295,2679,3616,6103,2711,3392,5983,2662,3321,5868,2718,3150
67,67,6007,2458,3549,5646,2224,3422,5666,2323,3343,5878,2440,3438,6048,2543,3505,6098,2620,3478,6312,2687,3625,6116,2714,3402,5995,2665,3330
68,68,5392,2074,3318,5963,2432,3531,5627,2213,3414,5656,2315,3341,5872,2435,3437,6047,2540,3507,6102,2619,3483,6325,2691,3634,6127,2715,3412
69,69,5455,2114,3341,5345,2049,3296,5921,2406,3515,5608,2202,3406,5641,2303,3338,5863,2427,3436,6042,2532,3510,6101,2613,3488,6333,2691,3642
70,70,5093,1955,3138,5397,2083,3314,5300,2026,3274,5883,2381,3502,5586,2187,3399,5623,2290,3333,5850,2415,3435,6033,2522,3511,6098,2605,3493
71,71,4912,1831,3081,5033,1923,3110,5342,2053,3289,5258,2002,3256,5839,2352,3487,5560,2170,3390,5601,2272,3329,5832,2399,3433,6022,2510,3512
72,72,5142,1867,3275,4847,1799,3048,4976,1892,3084,5287,2021,3266,5212,1975,3237,5790,2319,3471,5531,2150,3381,5574,2251,3323,5811,2381,3430
73,73,4137,1463,2674,5059,1828,3231,4785,1767,3018,4918,1859,3059,5227,1986,3241,5158,1944,3214,5733,2280,3453,5493,2124,3369,5542,2225,3317
74,74,4001,1431,2570,4058,1427,2631,4975,1787,3188,4720,1731,2989,4854,1822,3032,5160,1946,3214,5098,1908,3190,5672,2238,3434,5452,2095,3357
75,75,3501,1245,2256,3909,1388,2521,3979,1390,2589,4890,1744,3146,4648,1692,2956,4780,1779,3001,5083,1900,3183,5030,1867,3163,5603,2191,3412
76,76,2038,669,1369,3399,1197,2202,3812,1341,2471,3895,1349,2546,4792,1694,3098,4565,1646,2919,4698,1731,2967,4997,1848,3149,4955,1821,3134
77,77,1815,595,1220,1966,637,1329,3294,1146,2148,3711,1291,2420,3800,1302,2498,4683,1637,3046,4469,1593,2876,4605,1676,2929,4902,1791,3111
78,78,1529,525,1004,1736,560,1176,1893,605,1288,3184,1092,2092,3598,1234,2364,3694,1249,2445,4560,1573,2987,4362,1533,2829,4500,1615,2885
79,79,2041,689,1352,1452,489,963,1653,523,1130,1817,570,1247,3063,1032,2031,3473,1171,2302,3576,1190,2386,4422,1500,2922,4244,1467,2777
80,80,2647,820,1827,1925,637,1288,1373,452,921,1569,485,1084,1733,532,1201,2931,967,1964,3335,1102,2233,3444,1124,2320,4273,1423,2850
81,81,2524,783,1741,2483,754,1729,1805,583,1222,1293,415,878,1479,445,1034,1643,492,1151,2785,896,1889,3182,1027,2155,3303,1054,2249
82,82,2614,784,1830,2349,713,1636,2317,686,1631,1685,529,1156,1207,376,831,1384,404,980,1545,449,1096,2632,823,1809,3024,951,2073
83,83,2390,687,1703,2413,708,1705,2176,643,1533,2151,619,1532,1561,475,1086,1120,337,783,1285,362,923,1446,406,1040,2473,750,1723
84,84,2414,672,1742,2186,614,1572,2215,633,1582,2001,573,1428,1979,550,1429,1435,421,1014,1028,297,731,1185,321,864,1343,363,980
85,85,1675,427,313,1936,504,359,2124,556,393,2303,602,426,2413,626,448,2501,638,467,2455,617,460,2321,569,439,2233,532,426
86,86,1227,309,230,1418,364,264,1556,402,289,1686,436,314,1767,453,329,1831,462,343,1798,446,339,1699,412,323,1635,385,313
87,87,877,202,169,1014,238,194,1112,263,213,1206,285,231,1263,296,242,1309,302,253,1285,292,249,1215,269,237,1169,251,230
88,88,631,142,123,729,167,141,800,184,154,867,200,167,908,208,176,942,212,183,924,205,181,874,189,172,841,176,167
89,89,548,139,102,633,164,117,694,182,129,753,197,139,789,204,146,817,208,153,802,201,151,759,186,143,730,174,139
90,90,533,119,104,616,141,119,676,155,130,733,168,141,768,175,148,796,178,155,781,172,153,738,159,145,710,149,141
91,91,422,109,78,487,129,90,535,142,98,580,154,107,607,160,112,629,163,117,618,158,115,584,146,110,562,136,107
92,92,343,89,64,396,105,73,435,116,80,471,126,87,494,131,91,512,133,95,503,129,94,475,119,89,457,111,87
93,93,259,72,47,299,86,54,328,94,59,355,102,64,372,106,67,386,108,70,379,105,69,358,97,65,345,90,63
94,94,207,39,42,239,46,48,262,51,53,284,55,57,298,57,60,309,58,63,303,56,62,287,52,59,276,49,57
95,95,112,22,23,130,26,26,143,29,28,155,31,31,162,33,32,168,33,34,165,32,33,156,30,32,150,28,31
96,96,78,11,17,90,13,19,98,15,21,107,16,23,112,16,24,116,17,25,114,16,25,107,15,23,103,14,23
97,97,30,9,5,35,11,6,38,12,7,42,13,7,44,13,8,45,13,8,44,13,8,42,12,8,40,11,7
98,98,15,7,2,17,8,2,19,9,2,20,9,3,21,10,3,22,10,3,21,10,3,20,9,3,19,8,3
99,99,24,7,4,27,8,5,30,9,5,32,9,6,34,10,6,35,10,6,35,10,6,33,9,6,31,8,6
100,100,12,4,2,14,4,3,15,5,3,16,5,3,17,5,3,18,5,3,18,5,3,17,5,3,16,4,3
