,age,total,men,women,administrative_unit_id,municipality_parent_id
0,0,1910,967,943,132,132
1,1,2046,1057,989,132,132
2,2,2152,1131,1021,132,132
3,3,2504,1318,1186,132,132
4,4,2627,1347,1280,132,132
5,5,3125,1589,1536,132,132
6,6,3236,1670,1566,132,132
7,7,2970,1515,1455,132,132
8,8,2749,1397,1352,132,132
9,9,2811,1421,1390,132,132
10,10,2674,1392,1282,132,132
11,11,2680,1451,1229,132,132
12,12,2538,1329,1209,132,132
13,13,2510,1305,1205,132,132
14,14,2391,1248,1143,132,132
15,15,2234,1128,1106,132,132
16,16,2387,1249,1138,132,132
17,17,2557,1249,1308,132,132
18,18,2745,1335,1410,132,132
19,19,2695,1341,1354,132,132
20,20,2346,1218,1128,132,132
21,21,2134,1078,1056,132,132
22,22,1964,984,980,132,132
23,23,2101,1064,1037,132,132
24,24,2070,961,1109,132,132
25,25,2020,1007,1013,132,132
26,26,2271,1098,1173,132,132
27,27,2425,1151,1274,132,132
28,28,2438,1127,1311,132,132
29,29,3261,1458,1803,132,132
30,30,3432,1412,2020,132,132
31,31,3900,1679,2221,132,132
32,32,4233,1870,2363,132,132
33,33,4310,2039,2271,132,132
34,34,4606,2101,2505,132,132
35,35,4403,2110,2293,132,132
36,36,4157,1946,2211,132,132
37,37,4195,2024,2171,132,132
38,38,4060,1944,2116,132,132
39,39,3922,1872,2050,132,132
40,40,3519,1709,1810,132,132
41,41,3634,1727,1907,132,132
42,42,3402,1576,1826,132,132
43,43,3199,1446,1753,132,132
44,44,3042,1362,1680,132,132
45,45,3122,1476,1646,132,132
46,46,3056,1371,1685,132,132
47,47,3005,1380,1625,132,132
48,48,2718,1236,1482,132,132
49,49,2775,1267,1508,132,132
50,50,2770,1251,1519,132,132
51,51,2705,1203,1502,132,132
52,52,2474,1027,1447,132,132
53,53,2376,1057,1319,132,132
54,54,2487,1048,1439,132,132
55,55,2566,1051,1515,132,132
56,56,2587,1033,1554,132,132
57,57,2559,1029,1530,132,132
58,58,2659,1057,1602,132,132
59,59,2937,1106,1831,132,132
60,60,3116,1235,1881,132,132
61,61,3064,1201,1863,132,132
62,62,3063,1099,1964,132,132
63,63,3078,1086,1992,132,132
64,64,2993,1019,1974,132,132
65,65,2920,1008,1912,132,132
66,66,2827,945,1882,132,132
67,67,2847,956,1891,132,132
68,68,2604,849,1755,132,132
69,69,2453,819,1634,132,132
70,70,2193,1597,614,132,132
71,71,2241,1737,607,132,132
72,72,2199,1600,616,132,132
73,73,1876,1408,517,132,132
74,74,1865,1348,524,132,132
75,75,1540,1047,445,132,132
76,76,888,606,256,132,132
77,77,620,418,180,132,132
78,78,633,404,188,132,132
79,79,832,527,248,132,132
80,80,1033,852,196,132,132
81,81,1124,1007,207,132,132
82,82,1099,908,209,132,132
83,83,958,736,186,132,132
84,84,958,680,191,132,132
85,85,608,503,100,132,132
86,86,464,385,76,132,132
87,87,252,223,41,132,132
88,88,175,153,28,132,132
89,89,183,142,31,132,132
90,90,195,181,22,132,132
91,91,222,201,25,132,132
92,92,95,68,11,132,132
93,93,68,73,7,132,132
94,94,18,8,2,132,132
95,95,36,34,4,132,132
96,96,35,34,4,132,132
97,97,17,31,0,132,132
98,98,49,15,10,132,132
99,99,11,14,1,132,132
100,100,30,28,2,132,132
