,age,total,men,women,admin_unit_parent_id,municipality_id
0,0,12888,6669,6219,,113
1,1,13643,7072,6571,,113
2,2,13634,6955,6679,,113
3,3,14047,7261,6786,,113
4,4,14894,7628,7266,,113
5,5,15706,7982,7724,,113
6,6,15178,7840,7338,,113
7,7,14289,7263,7026,,113
8,8,13340,6858,6482,,113
9,9,12809,6699,6110,,113
10,10,11400,5784,5616,,113
11,11,10044,5010,5034,,113
12,12,9938,5101,4837,,113
13,13,9748,5006,4742,,113
14,14,9066,4705,4361,,113
15,15,8657,4442,4215,,113
16,16,8557,4283,4274,,113
17,17,8462,4388,4074,,113
18,18,8780,4574,4206,,113
19,19,9149,5025,4124,,113
20,20,8689,4567,4122,,113
21,21,9093,4763,4330,,113
22,22,7810,3997,3813,,113
23,23,8430,4161,4269,,113
24,24,8426,4109,4317,,113
25,25,8670,4043,4627,,113
26,26,9647,4679,4968,,113
27,27,10435,4903,5532,,113
28,28,11529,5281,6248,,113
29,29,16102,7069,9033,,113
30,30,19045,8559,10486,,113
31,31,21290,9934,11356,,113
32,32,19928,8689,11239,,113
33,33,20175,8995,11180,,113
34,34,21070,9517,11553,,113
35,35,21148,9442,11706,,113
36,36,20309,9327,10982,,113
37,37,19675,9050,10625,,113
38,38,19613,9004,10609,,113
39,39,18547,8532,10015,,113
40,40,17146,8114,9032,,113
41,41,17698,8163,9535,,113
42,42,15893,7179,8714,,113
43,43,15240,7116,8124,,113
44,44,14363,6632,7731,,113
45,45,14333,6552,7781,,113
46,46,14002,6476,7526,,113
47,47,13340,5999,7341,,113
48,48,12931,5968,6963,,113
49,49,12748,5774,6974,,113
50,50,12213,5493,6720,,113
51,51,12667,5847,6820,,113
52,52,11066,4894,6172,,113
53,53,10443,4603,5840,,113
54,54,10476,4711,5765,,113
55,55,10138,4408,5730,,113
56,56,10374,4504,5870,,113
57,57,10156,4237,5919,,113
58,58,10690,4390,6300,,113
59,59,10647,4420,6227,,113
60,60,11240,4305,6935,,113
61,61,12315,5017,7298,,113
62,62,10812,4048,6764,,113
63,63,10354,4009,6345,,113
64,64,9644,3705,5939,,113
65,65,9685,3704,5981,,113
66,66,9636,3408,6228,,113
67,67,9440,3453,5987,,113
68,68,8733,3142,5591,,113
69,69,8689,2997,5692,,113
70,70,7966,2613,5353,,113
71,71,8139,2842,5297,,113
72,72,7987,2618,5369,,113
73,73,6815,2304,4511,,113
74,74,6773,2205,4568,,113
75,75,5594,1712,3882,,113
76,76,3226,991,2235,,113
77,77,2251,683,1568,,113
78,78,2299,661,1638,,113
79,79,3021,862,2159,,113
80,80,4132,1110,3022,,113
81,81,4499,1311,3188,,113
82,82,4397,1182,3215,,113
83,83,3832,958,2874,,113
84,84,3835,886,2949,,113
85,85,2343,560,1783,,113
86,86,1789,429,1360,,113
87,87,973,248,725,,113
88,88,673,170,503,,113
89,89,704,158,546,,113
90,90,579,139,440,,113
91,91,657,154,503,,113
92,92,283,52,231,,113
93,93,202,56,146,,113
94,94,52,6,46,,113
95,95,67,32,35,,113
96,96,66,32,34,,113
97,97,31,29,2,,113
98,98,92,14,78,,113
99,99,20,13,7,,113
100,100,50,25,25,,113
